CURRENT URL,PAGE TITLE,TOP 225,NOT TOP 225,ADDITIONAL Q'S,NEXT STEPS,NEW CONTENT,NEW PARENT/SECTION,WM REVIEW,FORWARD URL,NOTES + QUESTIONS,PAGE PRIORITY,CONTENT CREATOR,TEAM REVIEW,AVP REVIEW
https://www.mvnu.edu/,Mount Vernon Nazarene University | A Christian University in Ohio,TRUE,FALSE,FALSE,Client to edit,https://docs.google.com/document/d/1HD1KvDXt7y4B_t3xZe3sqAf13mqKQV-23sGE-13B-TI/edit,,,,,,,FALSE,TRUE
https://www.mvnu.edu/academicprograms,Mount Vernon Nazarene University | Academic Majors,FALSE,FALSE,TRUE,Client to edit,https://docs.google.com/document/d/11oaWDGwxni44thIdHF-fahvsvr-VvM44tU-mIaHk610/edit#heading=h.5xj6s9r2idyg,Academics → On-Campus → Undergraduate → Programs,,,Is this now the Program Finder? ,,,FALSE,FALSE
https://www.mvnu.edu/alumni,Alumni,TRUE,FALSE,FALSE,Client to edit,Duplicate page see line 4,Alumni,,,,,,FALSE,FALSE
https://www.mvnu.edu/alumni/,Alumni,TRUE,FALSE,FALSE,Client to edit,https://docs.google.com/document/d/1F9CikvD4jj7D7JwRUb9NGvSgIudVfRNxgR6dUUqWiQE/edit,,,,DUPLICATE /,,,FALSE,FALSE
https://www.mvnu.edu/alumni/alumnistaff,Team Members,TRUE,FALSE,FALSE,Client to edit,https://docs.google.com/document/d/16GR3zfMhHgv0Zc1Q7tzmCWruqHAWICkIxGE9LcS3n1E/edit,Alumni → Team Members,,,,,,FALSE,FALSE
https://www.mvnu.edu/alumni/alumnistaff/classrepresentatives,Alumni Class Representatives,TRUE,FALSE,FALSE,Ready to Migrate,to Migrate,Alumni > Team Members,,,Join with Alumni Team page? ,,,FALSE,FALSE
https://www.mvnu.edu/alumni/benefitsandresources,Alumni Benefits and Resources,FALSE,TRUE,FALSE,Client to edit,,Alumni,,,,,,FALSE,FALSE
https://www.mvnu.edu/alumni/events-activities,Alumni Events & Activities | MVNU,FALSE,TRUE,FALSE,Client to edit,,Alumni → Events,,,"Can we do a feed of certain events from calendar? If not, just rethink this page/layout to what is useful",,,FALSE,FALSE
https://www.mvnu.edu/alumni/publications,Alumni Publications,FALSE,TRUE,FALSE,Ready to Migrate,,Alumni,,,,,,FALSE,FALSE
https://www.mvnu.edu/alumni/publications/now50,Alumni Publications Grapevine,FALSE,TRUE,TRUE,,,Outdated - Do we need to keep this since it never landed in a NOW? ,,,,,,FALSE,FALSE
https://www.mvnu.edu/alumni/referastudent,Alumni Refer a Student,FALSE,TRUE,FALSE,Client to edit,,Alumni,,,,,,FALSE,FALSE
https://www.mvnu.edu/alumni/visitandstay,Visit & Stay,FALSE,TRUE,FALSE,Ready to Migrate,,Alumni,,,"Does this find a home under the new Life at MVNU → Mount Vernon sections and just get a link from Alumni? Or at least some of it? (Grand, Visit, etc.)",,,FALSE,FALSE
https://www.mvnu.edu/alumni/visitandstay/couchenourhouse,Couchenour Guest House,FALSE,TRUE,FALSE,Ready to Migrate,,Life at MVNU → Schedule a Visit,,,,,,FALSE,FALSE
https://www.mvnu.edu/alumni/visitandstay/grandhotel,Grand Hotel,TRUE,FALSE,FALSE,Client to edit,https://docs.google.com/document/d/1wtUOpDrXms8aDHVrZCMMi5fUp4tJAxC7pwLxsfQSX7Q/edit,Life at MVNU → Mount Vernon → Downtown → Grand Hotel,,,"This should be a better highlight of the hotel. We can link it in Alumni, Visit, etc. ",,,FALSE,FALSE
https://www.mvnu.edu/careerdevelopment,Career Development,TRUE,FALSE,FALSE,Client to edit,https://docs.google.com/document/d/1YcB0Vt6ueb8HoEi3ycB_00IdZNEjWVMcVCv8clT9yrA/edit,Academics → On-Campus → Career Center,,,,,,FALSE,FALSE
https://www.mvnu.edu/careerdevelopment/alumniengagement,Alumni Engagement and Support,TRUE,FALSE,FALSE,Client to edit,https://docs.google.com/document/d/1_mC4z19RlrEKObxGX93XTbF-5A-ryucA5uiGDb6Tk-o/edit,Alumni,,,,,,FALSE,FALSE
https://www.mvnu.edu/careerdevelopment/employers,Career Development Employers,FALSE,TRUE,FALSE,Ready to Migrate,,Life at MVNU -> Campus Life -> Career Development,FALSE,,,,,FALSE,FALSE
https://www.mvnu.edu/careerdevelopment/facultyandstaff,Faculty & Staff,FALSE,TRUE,FALSE,Ready to Migrate,,Life at MVNU -> Campus Life -> Career Development,FALSE,,,,,FALSE,FALSE
https://www.mvnu.edu/careerdevelopment/gps,Career Development Services for Adult Students | MVNU,FALSE,TRUE,FALSE,Ready to Migrate,,Life at MVNU -> Campus Life -> Career Development,FALSE,,,,,FALSE,FALSE
https://www.mvnu.edu/careerdevelopment/parents,Parents,FALSE,TRUE,FALSE,Ready to Migrate,,Life at MVNU -> Campus Life -> Career Development,FALSE,,,,,FALSE,FALSE
https://www.mvnu.edu/careerdevelopment/tradstudents,Traditional Students,FALSE,TRUE,FALSE,Ready to Migrate,,Life at MVNU -> Campus Life -> Career Development,FALSE,,,,,FALSE,FALSE
